   id, time,  addr, rssi,  ave, lane
    0, 2050, 65:02,  -75,  -62,    0
    1,  965, 65:02,  -89,  -82,    0
    2,  476, 65:02,  -71,  -80,    0
    3, 1446, 65:02,  -72,  -71,    0
    4,  476, 65:02,  -73,  -72,    0
    5,  481, 65:02,  -71,  -72,    0
    6,  971, 65:02,  -71,  -71,    0
    7,  954, 65:02,  -58,  -64,    0
    8,  478, 65:02,  -59,  -58,    0
    9,  481, 65:02,  -57,  -58,    0
   10,  483, 65:02,  -61,  -59,    0
   11,  471, 65:02,  -59,  -60,    0
   12,  489, 65:02,  -59,  -59,    0
   13,  471, 65:02,  -59,  -59,    0
   14,  506, 65:02,  -59,  -59,    0
   15,  495, 65:02,  -67,  -63,    0
   16,  918, 65:02,  -62,  -64,    0
   17,  975, 65:02,  -66,  -64,    0
   18,  947, 65:02,  -66,  -66,    0
   19,  483, 65:02,  -58,  -62,    0
   20,  955, 65:02,  -57,  -57,    0
   21,  484, 65:02,  -52,  -54,    0
   22,  483, 65:02,  -58,  -55,    0
   23,  476, 65:02,  -62,  -60,    0
   24,  959, 65:02,  -52,  -57,    0
   25,  489, 65:02,  -53,  -52,    0
   26,  476, 65:02,  -53,  -53,    0
   27,  499, 65:02,  -61,  -57,    0
   28,  939, 65:02,  -58,  -59,    0
   29,  480, 65:02,  -63,  -60,    0
   30,  484, 65:02,  -68,  -65,    0
   31,  491, 65:02,  -71,  -69,    0
   32,  467, 65:02,  -64,  -67,    0
   33,  478, 65:02,  -73,  -68,    0
   34,  473, 65:02,  -80,  -76,    0
   35,  479, 65:02,  -74,  -77,    0
   36,  968, 65:02,  -65,  -69,    0
   37,  477, 65:02,  -76,  -70,    0
   38,  983, 65:02,  -73,  -74,    0
   39,  459, 65:02,  -76,  -74,    0
   40,  989, 65:02,  -71,  -73,    0
   41,  450, 65:02,  -78,  -74,    0
   42,  478, 65:02,  -71,  -74,    0
   43,  525, 65:02,  -68,  -69,    0
   44,  433, 65:02,  -70,  -69,    0
   45,  484, 65:02,  -64,  -67,    0
   46,  485, 65:02,  -77,  -70,    0
   47,  984, 65:02,  -64,  -70,    0
   48,  456, 65:02,  -71,  -67,    0
   49,  475, 65:02,  -72,  -71,    0
   50,  478, 65:02,  -71,  -71,    0
   51,  518, 65:02,  -70,  -70,    0
   52,  449, 65:02,  -72,  -71,    0
   53, 1948, 65:02,  -70,  -71,    0
   54,  446, 65:02,  -68,  -69,    0
   55,  482, 65:02,  -86,  -77,    0
   56,  954, 65:02,  -85,  -85,    0
   57,  524, 65:02,  -71,  -78,    0
   58, 1406, 65:02,  -73,  -72,    0
   59,  499, 65:02,  -68,  -70,    0
   60,  959, 65:02,  -72,  -70,    0
   61,  500, 65:02,  -72,  -72,    0
   62,  490, 65:02,  -82,  -77,    0
   63,  426, 65:02,  -66,  -74,    0
   64,  476, 65:02,  -72,  -69,    0
   65,  481, 65:02,  -91,  -81,    0
   66,  509, 65:02,  -71,  -81,    0
   67, 1422, 65:02,  -67,  -69,    0
   68,  480, 65:02,  -70,  -68,    0
   69,  520, 65:02,  -74,  -72,    0
   70,  445, 65:02,  -67,  -70,    0
   71, 1434, 65:02,  -64,  -65,    0
   72,  503, 65:02,  -70,  -67,    0
   73,  487, 65:02,  -70,  -70,    0
   74,  469, 65:02,  -72,  -71,    0
   75,  464, 65:02,  -80,  -76,    0
   76,  468, 65:02,  -73,  -76,    0
   77,  478, 65:02,  -63,  -68,    0
   78,  509, 65:02,  -64,  -63,    0
   79,  477, 65:02,  -65,  -64,    0
   80,  466, 65:02,  -56,  -60,    0
   81,  476, 65:02,  -55,  -55,    0
   82,  511, 65:02,  -68,  -61,    0
   83,  922, 65:02,  -61,  -64,    0
