   id, time,  addr, rssi,  ave, lane
  144,  502, 65:02,  -74,  -64,    1
  145,  948, 65:02,  -57,  -65,    1
  146,  474, 65:02,  -71,  -64,    1
  147,  483, 65:02,  -67,  -69,    1
  148,  477, 65:02,  -67,  -67,    1
  149,  962, 65:02,  -74,  -70,    1
  150,  470, 65:02,  -73,  -73,    1
  151, 1445, 65:02,  -85,  -79,    1
  152,  527, 65:02,  -78,  -81,    1
  153,  433, 65:02,  -75,  -76,    1
  154, 3110, xx:xx, -120,  -97,    1
  155, 3106, xx:xx, -120, -120,    1
  156, 3110, xx:xx, -120, -120,    1
  157, 3132, xx:xx, -120, -120,    1
  158,  117, 65:02,  -84, -102,    1
  159,  480, 65:02,  -83,  -83,    1
  160,  501, 65:02,  -95,  -89,    1
  161,  465, 65:02,  -79,  -87,    1
  162,  486, 65:02,  -74,  -76,    1
  163,  469, 65:02,  -79,  -76,    1
  164,  481, 65:02,  -85,  -82,    1
  165,  475, 65:02,  -87,  -86,    1
  166,  490, 65:02,  -83,  -85,    1
  167,  491, 65:02,  -88,  -85,    1
  168,  947, 65:02,  -81,  -84,    1
  169,  478, 65:02,  -84,  -82,    1
  170,  479, 65:02,  -80,  -82,    1
  171,  481, 65:02,  -89,  -84,    1
  172,  477, 65:02,  -89,  -89,    1
  173,  958, 65:02,  -98,  -93,    1
  174,  488, 65:02,  -86,  -92,    1
  175,  480, 65:02,  -88,  -87,    1
  176,  476, 65:02,  -94,  -91,    1
  177, 1438, 65:02,  -87,  -90,    1
  178,  488, 65:02,  -86,  -86,    1
  179,  477, 65:02,  -88,  -87,    1
  180,  528, 65:02,  -87,  -87,    1
  181,  913, 65:02,  -88,  -87,    1
  182,  478, 65:02,  -96,  -92,    1
  183,  474, 65:02,  -82,  -89,    1
  184,  481, 65:02,  -80,  -81,    2
  185,  485, 65:02,  -78,  -79,    2
  186, 1474, 65:02,  -83,  -80,    2
  187,  452, 65:02,  -81,  -82,    2
  188,  474, 65:02,  -79,  -80,    2
  189,  497, 65:02,  -74,  -76,    2
  190,  463, 65:02,  -77,  -75,    2
  191,  481, 65:02,  -77,  -77,    2
  192,  958, 65:02,  -75,  -76,    2
  193,  965, 65:02,  -82,  -78,    2
  194,  470, 65:02,  -87,  -84,    2
  195,  489, 65:02,  -83,  -85,    2
  196,  957, 65:02,  -85,  -84,    2
  197,  956, 65:02,  -89,  -87,    2
  198,  498, 65:02,  -91,  -90,    2
  199,  462, 65:02,  -90,  -90,    2
  200,  482, 65:02,  -86,  -88,    2
  201,  484, 65:02,  -93,  -89,    2
  202,  481, 65:02,  -94,  -93,    2
  203,  490, 65:02,  -93,  -93,    2
  204,  463, 65:02,  -92,  -92,    2
  205,  484, 65:02,  -97,  -94,    2
  206,  476, 65:02,  -90,  -93,    2
  207,  482, 65:02,  -85,  -87,    2
  208,  481, 65:02,  -85,  -85,    2
  209,  476, 65:02,  -84,  -84,    2
  210,  481, 65:02,  -94,  -89,    2
  211,  482, 65:02,  -81,  -87,    2
  212,  501, 65:02,  -85,  -83,    2
  213,  939, 65:02,  -90,  -87,    2
  214, 1444, 65:02,  -91,  -90,    2
  215,  960, 65:02,  -94,  -92,    2
  216,  964, 65:02,  -82,  -88,    2
  217,  471, 65:02,  -86,  -84,    2
  218,  485, 65:02,  -76,  -81,    2
  219,  478, 65:02,  -77,  -76,    2
  220,  473, 65:02,  -82,  -79,    2
  221,  499, 65:02,  -81,  -81,    2
  222,  467, 65:02,  -77,  -79,    2
