   id, time,  addr, rssi,  ave, lane
  951,  481, 65:02,  -80,  -79,    0
  952,  475, 65:02,  -82,  -81,    0
  953,  475, 65:02,  -80,  -81,    0
  954,  492, 65:02,  -81,  -80,    0
  955,  476, 65:02,  -86,  -83,    0
  956,  958, 65:02,  -79,  -82,    0
  957,  490, 65:02,  -82,  -80,    0
  958,  951, 65:02,  -81,  -81,    0
  959,  479, 65:02,  -82,  -81,    0
  960,  511, 65:02,  -82,  -82,    0
  961,  461, 65:02,  -91,  -86,    0
  962, 1460, 65:02,  -92,  -91,    0
  963,  450, 65:02,  -92,  -92,    0
  964,  477, 65:02,  -79,  -85,    0
  965,  481, 65:02,  -92,  -85,    0
  966,  480, 65:02,  -90,  -91,    0
  967,  477, 65:02,  -93,  -91,    0
  968,  486, 65:02,  -92,  -92,    0
  969,  472, 65:02,  -90,  -91,    0
  970,  482, 65:02,  -87,  -88,    0
  971,  484, 65:02,  -85,  -86,    0
  972,  475, 65:02,  -94,  -89,    0
  973,  509, 65:02,  -90,  -92,    0
  974,  455, 65:02,  -94,  -92,    0
  975,  485, 65:02,  -85,  -89,    0
  976,  959, 65:02,  -83,  -84,    0
  977,  486, 65:02,  -88,  -85,    0
  978,  472, 65:02,  -82,  -85,    0
  979,  509, 65:02,  -81,  -81,    0
  980,  469, 65:02,  -83,  -82,    0
  981,  975, 65:02,  -84,  -83,    0
  982,  465, 65:02,  -87,  -85,    0
  983,  464, 65:02,  -86,  -86,    0
  984,  963, 65:02,  -82,  -84,    0
  985,  473, 65:02,  -79,  -80,    0
  986,  480, 65:02,  -91,  -85,    0
  987,  501, 65:02,  -87,  -89,    0
  988,  459, 65:02,  -91,  -89,    0
  989,  512, 65:02,  -90,  -90,    0
  990, 1405, 65:02,  -96,  -93,    0
  991,  485, 65:02,  -86,  -91,    0
  992,  955, 65:02,  -97,  -91,    0
  993,  487, 65:02,  -93,  -95,    0
  994,  473, 65:02,  -94,  -93,    0
  995,  486, 65:02,  -95,  -94,    0
  996, 1466, 65:02,  -91,  -93,    0
  997,  489, 65:02,  -91,  -91,    0
  998,  446, 65:02,  -93,  -92,    0
  999,  483, 65:02,  -92,  -92,    0
 1000,  950, 65:02,  -94,  -93,    0
 1001,  483, 65:02,  -91,  -92,    0
 1002,  953, 65:02,  -97,  -94,    0
 1003,  965, 65:02,  -96,  -96,    0
 1004,  477, 65:02,  -95,  -95,    0
 1005,  483, 65:02,  -97,  -96,    0
 1006,  974, 65:02,  -93,  -95,    0
 1007,  464, 65:02,  -91,  -92,    0
 1008,  483, 65:02,  -91,  -91,    0
 1009,  487, 65:02,  -91,  -91,    0
 1010,  951, 65:02,  -90,  -90,    0
 1011,  486, 65:02,  -99,  -94,    0
 1012,  963, 65:02, -100,  -99,    0
 1013,  476, 65:02,  -97,  -98,    0
 1014,  503, 65:02, -102,  -99,    0
 1015,  454, 65:02,  -98, -100,    0
 1016,  987, 65:02,  -97,  -97,    0
 1017,  450, 65:02,  -92,  -94,    0
 1018, 1443, 65:02,  -95,  -93,    0
 1019,  485, 65:02,  -95,  -95,    0
 1020,  954, 65:02,  -90,  -92,    0
 1021,  964, 65:02,  -91,  -90,    0
 1022,  955, 65:02,  -93,  -92,    0
 1023,  481, 65:02,  -94,  -93,    0
 1024,  483, 65:02,  -97,  -95,    0
 1025,  475, 65:02,  -96,  -96,    0
 1026,  990, 65:02,  -93,  -94,    0
 1027,  453, 65:02, -101,  -97,    0
 1028,  479, 65:02,  -96,  -98,    0
 1029,  964, 65:02,  -94,  -95,    0
 1030,  954, 65:02,  -92,  -93,    0
 1031,  486, 65:02,  -91,  -91,    0
 1032,  473, 65:02,  -98,  -94,    0
 1033,  485, 65:02,  -99,  -98,    0
 1034,  474, 65:02,  -98,  -98,    0
 1035,  490, 65:02,  -94,  -96,    0
 1036, 1914, 65:02,  -92,  -93,    0
 1037,  480, 65:02,  -84,  -88,    0
 1038,  494, 65:02,  -76,  -80,    0
 1039,  497, 65:02,  -80,  -78,    0
 1040,  450, 65:02,  -82,  -81,    0
 1041,  961, 65:02,  -82,  -82,    0
 1042,  484, 65:02,  -76,  -79,    0
 1043,  499, 65:02,  -76,  -76,    0
 1044,  459, 65:02,  -77,  -76,    1
 1045,  486, 65:02,  -79,  -78,    1
 1046,  951, 65:02,  -86,  -82,    1
 1047,  484, 65:02,  -95,  -90,    1
 1048, 2392, 65:02,  -95,  -95,    1
 1049,  967, 65:02,  -94,  -94,    1
 1050,  478, 65:02,  -91,  -92,    1
 1051, 1922, 65:02,  -96,  -93,    1
 1052,  978, 65:02,  -95,  -95,    1
 1053, 5094, xx:xx, -120, -120,    1
 1054, 5099, xx:xx, -120, -120,    1
 1055, 5150, xx:xx, -120, -120,    1
 1056, 5104, xx:xx, -120, -120,    1
 1057, 5099, xx:xx, -120, -120,    1
 1058, 5099, xx:xx, -120, -120,    1
 1059, 2452, 65:02, -101, -110,    1
 1060,  475, 65:02,  -92,  -96,    1
 1061, 4820, 65:02,  -96,  -94,    1
 1062,  944, 65:02,  -95,  -95,    2
 1063, 1438, 65:02,  -94,  -94,    2
 1064,  963, 65:02,  -93,  -93,    2
 1065,  964, 65:02,  -98,  -95,    2
 1066,  480, 65:02,  -99,  -98,    2
 1067, 2408, 65:02,  -98,  -98,    2
 1068, 2386, 65:02,  -98,  -98,    2
 1069,  483, 65:02,  -99,  -98,    2
 1070, 2402, 65:02, -101, -100,    2
 1071, 1452, 65:02,  -99, -100,    2
 1072, 2866, 65:02,  -95,  -97,    2
 1073, 4324, 65:02,  -98,  -96,    2
 1074, 5114, xx:xx, -120, -120,    2
 1075, 5103, xx:xx, -120, -120,    2
 1076, 5105, xx:xx, -120, -120,    2
 1077, 5105, xx:xx, -120, -120,    2
 1078, 4048, 65:02,  -99, -109,    2
 1079, 1917, 65:02, -101, -100,    2
 1080, 2406, 65:02,  -99, -100,    2
 1081, 3841, 65:02,  -98,  -98,    2
 1082, 1435, 65:02, -102, -100,    2
 1083,  484, 65:02,  -99, -100,    2
 1084,  981, 65:02,  -91,  -95,    3
 1085, 1420, 65:02,  -91,  -91,    3
 1086,  477, 65:02,  -96,  -93,    3
 1087, 1449, 65:02,  -93,  -94,    3
 1088, 1434, 65:02,  -97,  -95,    3
 1089,  476, 65:02, -100,  -98,    3
 1090,  483, 65:02,  -94,  -97,    3
 1091,  975, 65:02,  -97,  -95,    3
 1092, 1430, 65:02,  -96,  -96,    3
 1093, 3357, 65:02, -102,  -99,    3
 1094, 5113, xx:xx, -120, -120,    3
 1095, 5109, xx:xx, -120, -120,    3
 1096, 5111, xx:xx, -120, -120,    3
 1097, 5109, xx:xx, -120, -120,    3
 1098, 3556, 65:02,  -97, -108,    3
 1099, 5111, xx:xx, -120, -120,    3
 1100, 5176, xx:xx, -120, -120,    3
 1101, 3181, 65:02, -100, -110,    3
 1102,  940, 65:02,  -96,  -98,    4
 1103, 1434, 65:02, -100,  -98,    4
 1104, 3355, 65:02,  -94,  -97,    4
 1105, 1449, 65:02,  -96,  -95,    4
 1106, 1447, 65:02,  -97,  -96,    4
 1107,  951, 65:02,  -90,  -93,    4
 1108, 1917, 65:02,  -97,  -93,    4
 1109,  495, 65:02,  -89,  -93,    4
 1110,  955, 65:02,  -99,  -94,    4
 1111,  949, 65:02,  -92,  -95,    4
 1112,  482, 65:02, -101,  -96,    4
 1113, 2406, 65:02,  -95,  -98,    4
 1114, 1439, 65:02,  -94,  -94,    4
 1115, 1919, 65:02,  -97,  -95,    4
 1116, 3363, 65:02,  -93,  -95,    4
 1117, 5091, xx:xx, -120, -120,    4
 1118, 5111, xx:xx, -120, -120,    4
 1119, 5086, xx:xx, -120, -120,    4
 1120, 5089, xx:xx, -120, -120,    4
 1121, 2682, 65:02, -102, -111,    4
 1122, 3333, 65:02,  -99, -100,    4
 1123, 1446, 65:02,  -95,  -97,    4
 1124, 2877, 65:02,  -93,  -94,    5
 1125,  966, 65:02,  -95,  -94,    5
 1126, 2880, 65:02, -100,  -97,    5
 1127,  474, 65:02,  -96,  -98,    5
 1128,  486, 65:02,  -90,  -93,    5
 1129,  478, 65:02,  -89,  -89,    5
 1130,  480, 65:02,  -99,  -94,    5
 1131,  964, 65:02,  -94,  -96,    5
 1132, 2412, 65:02,  -96,  -95,    5
 1133, 1432, 65:02,  -95,  -95,    5
 1134, 5112, xx:xx, -120, -120,    5
 1135, 1117, 65:02, -104, -112,    5
 1136, 4320, 65:02,  -99, -101,    5
 1137, 2881, 65:02,  -98,  -98,    5
 1138, 5105, xx:xx, -120, -120,    5
 1139, 5096, xx:xx, -120, -120,    5
 1140, 5094, xx:xx, -120, -120,    5
 1141, 5095, xx:xx, -120, -120,    5
 1142, 5115, xx:xx, -120, -120,    5
 1143, 3311, 65:02, -100, -110,    5
 1144, 3367, 65:02,  -97,  -98,    6
 1145, 2378, 65:02,  -99,  -98,    6
 1146, 2399, 65:02, -101, -100,    6
 1147,  964, 65:02,  -96,  -98,    6
 1148, 5100, xx:xx, -120, -120,    6
 1149, 1134, 65:02,  -96, -108,    6
 1150, 5097, xx:xx, -120, -120,    6
 1151, 5102, xx:xx, -120, -120,    6
 1152,  845, 65:02,  -94, -107,    6
 1153,  962, 65:02,  -97,  -95,    6
 1154,  481, 65:02, -104, -100,    6
 1155, 2397, 65:02, -100, -102,    6
 1156,  479, 65:02,  -99,  -99,    6
 1157, 4321, 65:02, -101, -100,    6
 1158, 5098, xx:xx, -120, -120,    6
 1159, 5109, xx:xx, -120, -120,    6
 1160, 5151, xx:xx, -120, -120,    6
 1161, 5098, xx:xx, -120, -120,    6
 1162, 5098, xx:xx, -120, -120,    6
 1163, 4206, 65:02,  -99, -109,    6
 1164, 1440, 65:02, -103, -101,    6
 1165, 1925, 65:02,  -95,  -99,    6
 1166, 2876, 65:02,  -94,  -94,    6
 1167,  967, 65:02, -102,  -98,    6
 1168,  468, 65:02,  -91,  -96,    7
 1169, 2397, 65:02,  -96,  -93,    7
 1170,  492, 65:02,  -92,  -94,    7
 1171,  956, 65:02, -100,  -96,    7
 1172, 5109, xx:xx, -120, -120,    7
 1173, 1135, 65:02,  -98, -109,    7
 1174, 3834, 65:02,  -97,  -97,    7
 1175, 5168, xx:xx, -120, -120,    7
 1176, 5112, xx:xx, -120, -120,    7
 1177, 5104, xx:xx, -120, -120,    7
 1178, 5102, xx:xx, -120, -120,    7
 1179, 5115, xx:xx, -120, -120,    7
 1180, 1288, 65:02,  -96, -108,    7
 1181,  951, 65:02, -100,  -98,    7
 1182, 3380, 65:02,  -94,  -97,    7
 1183, 1423, 65:02,  -98,  -96,    7
 1184, 1450, 65:02,  -97,  -97,    7
 1185, 1431, 65:02, -102,  -99,    7
 1186, 2407, 65:02,  -95,  -98,    8
 1187,  955, 65:02,  -97,  -96,    8
 1188,  958, 65:02,  -92,  -94,    8
 1189, 1914, 65:02,  -99,  -95,    8
 1190,  486, 65:02,  -90,  -94,    8
 1191,  961, 65:02,  -96,  -93,    8
 1192, 2406, 65:02,  -98,  -97,    8
 1193,  956, 65:02,  -92,  -95,    8
 1194, 4793, 65:02,  -95,  -93,    8
 1195, 5107, xx:xx, -120, -120,    8
 1196,  179, 65:02,  -99, -109,    8
 1197, 5102, xx:xx, -120, -120,    8
 1198, 5110, xx:xx, -120, -120,    8
 1199, 5104, xx:xx, -120, -120,    8
 1200, 5111, xx:xx, -120, -120,    8
 1201, 5109, xx:xx, -120, -120,    8
 1202, 5105, xx:xx, -120, -120,    8
 1203, 1515, 65:02,  -98, -109,    9
 1204, 4799, 65:02,  -95,  -96,    9
 1205,  483, 65:02, -102,  -98,    9
 1206,  963, 65:02,  -91,  -96,    9
 1207,  961, 65:02,  -93,  -92,    9
 1208,  473, 65:02,  -93,  -93,    9
 1209,  967, 65:02,  -93,  -93,    9
 1210, 5108, xx:xx, -120, -120,    9
 1211, 4969, 65:02,  -98, -109,    9
 1212, 1451, 65:02,  -97,  -97,    9
 1213, 4311, 65:02,  -95,  -96,    9
 1214, 5118, xx:xx, -120, -120,    9
 1215, 5136, xx:xx, -120, -120,    9
 1216, 5089, xx:xx, -120, -120,    9
 1217, 5105, xx:xx, -120, -120,    9
 1218, 5088, xx:xx, -120, -120,    9
 1219, 4714, 65:02,  -98, -109,    9
 1220, 3830, 65:02, -100,  -99,    9
