   id, time,  addr, rssi,  ave, lane
    0, 4770, xx:xx, -120,  -85,    0
    1, 3060, xx:xx, -120, -120,    0
    2, 2912, 65:02,  -72,  -96,    0
    3,  487, 65:02,  -72,  -72,    0
    4,  496, 65:02,  -69,  -70,    0
    5,  490, 65:02,  -69,  -69,    0
    6,  446, 65:02,  -69,  -69,    0
    7,  493, 65:02,  -71,  -70,    0
    8,  959, 65:02,  -71,  -71,    0
    9,  476, 65:02,  -65,  -68,    0
   10,  482, 65:02,  -71,  -68,    0
   11,  477, 65:02,  -64,  -67,    0
   12,  490, 65:02,  -72,  -68,    0
   13,  491, 65:02,  -78,  -75,    0
   14,  452, 65:02,  -71,  -74,    0
   15,  494, 65:02,  -65,  -68,    0
   16,  468, 65:02,  -67,  -66,    0
   17,  483, 65:02,  -74,  -70,    0
   18,  487, 65:02,  -60,  -67,    0
   19,  468, 65:02,  -57,  -58,    0
   20,  485, 65:02,  -41,  -49,    0
   21,  969, 65:02,  -40,  -40,    0
   22,  474, 65:02,  -48,  -44,    0
   23,  488, 65:02,  -48,  -48,    0
   24,  471, 65:02,  -52,  -50,    0
   25,  480, 65:02,  -50,  -51,    0
   26,  482, 65:02,  -50,  -50,    0
   27,  472, 65:02,  -47,  -48,    0
   28,  483, 65:02,  -51,  -49,    0
   29,  479, 65:02,  -47,  -49,    0
   30,  482, 65:02,  -59,  -53,    0
   31,  482, 65:02,  -53,  -56,    0
   32,  485, 65:02,  -63,  -58,    0
   33,  487, 65:02,  -60,  -61,    0
   34,  467, 65:02,  -63,  -61,    0
   35,  484, 65:02,  -64,  -63,    0
   36,  475, 65:02,  -60,  -62,    0
   37,  476, 65:02,  -63,  -61,    0
   38,  487, 65:02,  -59,  -61,    0
   39,  477, 65:02,  -61,  -60,    0
   40,  493, 65:02,  -57,  -59,    0
   41,  471, 65:02,  -55,  -56,    0
   42,  954, 65:02,  -53,  -54,    0
   43,  484, 65:02,  -66,  -59,    0
   44,  475, 65:02,  -61,  -63,    0
   45,  477, 65:02,  -68,  -64,    0
   46,  484, 65:02,  -70,  -69,    0
   47,  505, 65:02,  -63,  -66,    0
   48,  461, 65:02,  -68,  -65,    0
   49,  474, 65:02,  -69,  -68,    0
   50,  491, 65:02,  -76,  -72,    0
   51,  472, 65:02,  -63,  -69,    0
   52,  476, 65:02,  -64,  -63,    0
   53,  478, 65:02,  -64,  -64,    0
   54,  483, 65:02,  -62,  -63,    0
   55,  484, 65:02,  -62,  -62,    0
   56,  472, 65:02,  -61,  -61,    0
   57,  484, 65:02,  -66,  -63,    0
   58,  485, 65:02,  -61,  -63,    0
   59,  480, 65:02,  -61,  -61,    0
   60,  483, 65:02,  -62,  -61,    0
   61,  468, 65:02,  -61,  -61,    0
   62,  480, 65:02,  -62,  -61,    0
